	A->C	A->G	A->T	C->A	C->G	C->T	G->A	G->C	G->T	T->A	T->C	T->G
-13	1.880e-3 [1.746e-3..2.024e-3]	3.717e-3 [3.527e-3..3.918e-3]	1.944e-3 [1.808e-3..2.091e-3]	4.653e-3 [4.332e-3..4.998e-3]	3.142e-3 [2.880e-3..3.427e-3]	8.560e-3 [8.121e-3..9.022e-3]	8.520e-3 [8.112e-3..8.949e-3]	3.794e-3 [3.524e-3..4.084e-3]	6.084e-3 [5.741e-3..6.449e-3]	3.143e-3 [2.942e-3..3.358e-3]	3.999e-3 [3.772e-3..4.241e-3]	2.082e-3 [1.920e-3..2.258e-3]
-12	1.816e-3 [1.687e-3..1.955e-3]	3.733e-3 [3.546e-3..3.930e-3]	1.852e-3 [1.722e-3..1.993e-3]	4.627e-3 [4.309e-3..4.969e-3]	2.837e-3 [2.590e-3..3.107e-3]	8.725e-3 [8.285e-3..9.189e-3]	8.864e-3 [8.439e-3..9.309e-3]	4.177e-3 [3.888e-3..4.487e-3]	5.875e-3 [5.531e-3..6.241e-3]	3.007e-3 [2.808e-3..3.221e-3]	4.235e-3 [3.997e-3..4.487e-3]	1.980e-3 [1.819e-3..2.155e-3]
-11	2.058e-3 [1.919e-3..2.206e-3]	3.871e-3 [3.679e-3..4.072e-3]	2.274e-3 [2.129e-3..2.430e-3]	5.096e-3 [4.756e-3..5.461e-3]	2.921e-3 [2.666e-3..3.201e-3]	9.108e-3 [8.650e-3..9.591e-3]	8.787e-3 [8.368e-3..9.227e-3]	3.732e-3 [3.462e-3..4.023e-3]	5.981e-3 [5.637e-3..6.347e-3]	3.281e-3 [3.075e-3..3.501e-3]	3.832e-3 [3.609e-3..4.069e-3]	2.258e-3 [2.088e-3..2.442e-3]
-10	1.947e-3 [1.810e-3..2.095e-3]	3.468e-3 [3.283e-3..3.662e-3]	2.088e-3 [1.946e-3..2.241e-3]	4.509e-3 [4.195e-3..4.847e-3]	2.959e-3 [2.706e-3..3.235e-3]	9.424e-3 [8.966e-3..9.905e-3]	8.266e-3 [7.847e-3..8.708e-3]	3.886e-3 [3.601e-3..4.193e-3]	6.123e-3 [5.763e-3..6.506e-3]	3.130e-3 [2.935e-3..3.337e-3]	4.419e-3 [4.187e-3..4.664e-3]	1.979e-3 [1.825e-3..2.145e-3]
-9	1.879e-3 [1.744e-3..2.024e-3]	3.893e-3 [3.697e-3..4.099e-3]	1.865e-3 [1.731e-3..2.010e-3]	5.213e-3 [4.870e-3..5.580e-3]	3.494e-3 [3.216e-3..3.798e-3]	9.276e-3 [8.816e-3..9.761e-3]	8.289e-3 [7.888e-3..8.709e-3]	4.107e-3 [3.827e-3..4.407e-3]	5.856e-3 [5.521e-3..6.212e-3]	2.738e-3 [2.553e-3..2.937e-3]	3.956e-3 [3.732e-3..4.193e-3]	2.143e-3 [1.980e-3..2.320e-3]
-8	1.749e-3 [1.617e-3..1.892e-3]	3.759e-3 [3.564e-3..3.966e-3]	1.920e-3 [1.782e-3..2.070e-3]	4.809e-3 [4.490e-3..5.152e-3]	3.488e-3 [3.217e-3..3.781e-3]	9.071e-3 [8.629e-3..9.536e-3]	8.637e-3 [8.229e-3..9.066e-3]	4.489e-3 [4.197e-3..4.802e-3]	5.714e-3 [5.383e-3..6.065e-3]	2.967e-3 [2.775e-3..3.173e-3]	4.397e-3 [4.161e-3..4.646e-3]	2.099e-3 [1.938e-3..2.273e-3]
-7	1.777e-3 [1.650e-3..1.915e-3]	3.746e-3 [3.558e-3..3.943e-3]	2.100e-3 [1.961e-3..2.250e-3]	4.669e-3 [4.344e-3..5.018e-3]	3.019e-3 [2.760e-3..3.303e-3]	9.128e-3 [8.669e-3..9.610e-3]	8.396e-3 [7.980e-3..8.833e-3]	3.948e-3 [3.665e-3..4.252e-3]	6.240e-3 [5.883e-3..6.619e-3]	2.931e-3 [2.738e-3..3.139e-3]	4.277e-3 [4.042e-3..4.526e-3]	2.173e-3 [2.007e-3..2.352e-3]
-6	2.090e-3 [1.949e-3..2.242e-3]	3.902e-3 [3.708e-3..4.107e-3]	2.229e-3 [2.083e-3..2.385e-3]	5.079e-3 [4.742e-3..5.439e-3]	2.887e-3 [2.635e-3..3.162e-3]	9.450e-3 [8.987e-3..9.936e-3]	9.141e-3 [8.711e-3..9.593e-3]	4.400e-3 [4.104e-3..4.718e-3]	6.609e-3 [6.244e-3..6.995e-3]	3.200e-3 [2.999e-3..3.413e-3]	4.396e-3 [4.161e-3..4.645e-3]	1.961e-3 [1.806e-3..2.130e-3]
-5	2.024e-3 [1.884e-3..2.175e-3]	3.190e-3 [3.013e-3..3.378e-3]	2.321e-3 [2.170e-3..2.481e-3]	5.182e-3 [4.844e-3..5.544e-3]	2.952e-3 [2.699e-3..3.228e-3]	1.038e-2 [9.895e-3..1.088e-2]	8.676e-3 [8.234e-3..9.142e-3]	4.101e-3 [3.800e-3..4.426e-3]	6.345e-3 [5.968e-3..6.745e-3]	3.491e-3 [3.289e-3..3.705e-3]	4.434e-3 [4.206e-3..4.675e-3]	2.107e-3 [1.951e-3..2.275e-3]
-4	1.983e-3 [1.843e-3..2.134e-3]	4.232e-3 [4.026e-3..4.449e-3]	2.149e-3 [2.003e-3..2.305e-3]	4.648e-3 [4.332e-3..4.988e-3]	3.311e-3 [3.045e-3..3.600e-3]	1.008e-2 [9.607e-3..1.057e-2]	1.002e-2 [9.574e-3..1.049e-2]	4.805e-3 [4.498e-3..5.133e-3]	7.394e-3 [7.011e-3..7.798e-3]	3.294e-3 [3.092e-3..3.509e-3]	4.682e-3 [4.440e-3..4.937e-3]	2.236e-3 [2.071e-3..2.415e-3]
-3	2.171e-3 [2.026e-3..2.326e-3]	4.019e-3 [3.821e-3..4.229e-3]	2.225e-3 [2.078e-3..2.382e-3]	4.549e-3 [4.246e-3..4.874e-3]	3.135e-3 [2.885e-3..3.406e-3]	1.007e-2 [9.617e-3..1.055e-2]	1.117e-2 [1.068e-2..1.167e-2]	5.586e-3 [5.246e-3..5.948e-3]	7.647e-3 [7.247e-3..8.068e-3]	3.916e-3 [3.691e-3..4.154e-3]	4.748e-3 [4.500e-3..5.009e-3]	2.136e-3 [1.972e-3..2.314e-3]
-2	2.522e-3 [2.363e-3..2.692e-3]	4.400e-3 [4.188e-3..4.622e-3]	3.185e-3 [3.006e-3..3.375e-3]	4.429e-3 [4.117e-3..4.764e-3]	2.915e-3 [2.664e-3..3.190e-3]	1.626e-2 [1.565e-2..1.688e-2]	1.013e-2 [9.646e-3..1.063e-2]	4.872e-3 [4.541e-3..5.226e-3]	8.887e-3 [8.437e-3..9.361e-3]	2.736e-3 [2.561e-3..2.922e-3]	3.943e-3 [3.733e-3..4.166e-3]	2.179e-3 [2.023e-3..2.346e-3]
-1	8.525e-4 [7.713e-4..9.424e-4]	5.274e-3 [5.066e-3..5.490e-3]	2.127e-3 [1.996e-3..2.266e-3]	1.511e-2 [1.429e-2..1.598e-2]	1.090e-2 [1.020e-2..1.164e-2]	0.129 [0.127..0.131]	9.936e-3 [9.533e-3..1.036e-2]	1.436e-3 [1.287e-3..1.602e-3]	4.926e-3 [4.644e-3..5.225e-3]	5.570e-3 [5.284e-3..5.871e-3]	2.238e-3 [2.059e-3..2.432e-3]	3.805e-3 [3.570e-3..4.055e-3]
0	9.435e-4 [8.527e-4..1.044e-3]	2.448e-3 [2.299e-3..2.606e-3]	5.583e-3 [5.356e-3..5.819e-3]	1.683e-2 [1.589e-2..1.783e-2]	3.897e-3 [3.457e-3..4.393e-3]	0.341 [0.337..0.344]	3.039e-2 [2.922e-2..3.161e-2]	3.733e-3 [3.334e-3..4.181e-3]	2.446e-2 [2.341e-2..2.555e-2]	3.318e-3 [3.155e-3..3.490e-3]	1.399e-3 [1.295e-3..1.512e-3]	7.800e-4 [7.029e-4..8.656e-4]
